,game_date,player_name,pitcher
171,2017,"Scherzer, Max",453286
172,2015,"Kennedy, Ian",453178
173,2019,"Cole, Gerrit",543037
174,2017,"deGrom, Jacob",594798
175,2021,"Cueto, Johnny",456501
176,2014,"Hernandez, Roberto",433584
177,2019,"Bauer, Trevor",545333
178,2014,"Hernandez, Roberto",433584
179,2018,"Verlander, Justin",434378
180,2014,"Scherzer, Max",453286
181,2019,"Keller, Brad",641745
182,2017,"Strasburg, Stephen",544931
183,2017,"Verlander, Justin",434378
184,2015,"Porcello, Rick",519144
185,2016,"Syndergaard, Noah",592789
186,2018,"Gibson, Kyle",502043
187,2019,"Wheeler, Zack",554430
188,2017,"Nelson, Jimmy",519076
189,2015,"Samardzija, Jeff",502188
190,2015,"Jiménez, Ubaldo",434622
191,2020,"Bieber, Shane",669456
192,2019,"Bundy, Dylan",605164
193,2016,"Harrell, Lucas",449173
194,2014,"Jiménez, Ubaldo",434622
195,2014,"Kendrick, Kyle",452718
196,2017,"Lynn, Lance",458681
197,2019,"Lynn, Lance",458681
198,2017,"Gausman, Kevin",592332
199,2014,"Salazar, Danny",517593
200,2016,"Wright, Steven",453214
201,2014,"Wheeler, Zack",554430
202,2019,"Flaherty, Jack",656427
203,2015,"Peralta, Wily",503449
204,2017,"Martínez, Carlos",593372
205,2017,"Stroman, Marcus",573186
206,2014,"Greinke, Zack",425844
207,2015,"Gallardo, Yovani",451596
208,2014,"Wheeler, Zack",554430
209,2018,"Gibson, Kyle",502043
210,2019,"Davies, Zach",605200
211,2016,"Eovaldi, Nathan",543135
212,2017,"Porcello, Rick",519144
213,2014,"Dickey, R.A.",285079
214,2016,"Cueto, Johnny",456501
215,2014,"Tanaka, Masahiro",547888
216,2020,"Wheeler, Zack",554430
217,2014,"Shields, James",448306
218,2014,"Lynn, Lance",458681
219,2014,"Harang, Aaron",421685
220,2014,"Kluber, Corey",446372
221,2015,"Lynn, Lance",458681
222,2016,"Richards, Garrett",572070
223,2019,"Bauer, Trevor",545333
224,2015,"Porcello, Rick",519144
225,2016,"Walker, Taijuan",592836
226,2017,"Walker, Taijuan",592836
227,2017,"Gausman, Kevin",592332
228,2016,"Shields, James",448306
229,2014,"Wainwright, Adam",425794
230,2014,"Cueto, Johnny",456501
231,2015,"Shields, James",448306
232,2015,"Lynn, Lance",458681
233,2014,"González, Miguel",456068
234,2019,"Bauer, Trevor",545333
235,2015,"Arrieta, Jake",453562
236,2018,"Carrasco, Carlos",471911
237,2014,"Bauer, Trevor",545333
238,2014,"Peavy, Jake",408241
239,2016,"McCullers Jr., Lance",621121
240,2014,"Ventura, Yordano",570649
241,2015,"Gibson, Kyle",502043
242,2017,"Montero, Rafael",606160
243,2016,"Wright, Steven",453214
244,2017,"Darvish, Yu",506433
245,2016,"Wainwright, Adam",425794
246,2014,"Lynn, Lance",458681
247,2015,"Lynn, Lance",458681
248,2019,"Bauer, Trevor",545333
249,2016,"DeSclafani, Anthony",543101
250,2014,"Cueto, Johnny",456501
251,2014,"Kennedy, Ian",453178
252,2014,"Harang, Aaron",421685
253,2019,"Clevinger, Mike",605182
254,2014,"Darvish, Yu",506433
255,2016,"Scherzer, Max",453286
256,2019,"Scherzer, Max",453286
257,2015,"Sánchez, Aníbal",434671
258,2019,"Bauer, Trevor",545333
259,2015,"Arrieta, Jake",453562
260,2014,"Darvish, Yu",506433
261,2018,"Stratton, Chris",608717
262,2014,"Sánchez, Aníbal",434671
263,2017,"Estrada, Marco",462136
264,2014,"Fister, Doug",450729
265,2016,"Samardzija, Jeff",502188
266,2016,"Santana, Ervin",429722
267,2015,"Verlander, Justin",434378
268,2015,"Hammel, Jason",434628
269,2018,"Kluber, Corey",446372
270,2017,"Bailey, Homer",456701
271,2014,"Nolasco, Ricky",445060
272,2019,"Bauer, Trevor",545333
273,2019,"Flaherty, Jack",656427
274,2015,"Sánchez, Aníbal",434671
275,2016,"deGrom, Jacob",594798
276,2015,"Cashner, Andrew",488768
277,2019,"Bauer, Trevor",545333
278,2014,"Scherzer, Max",453286
279,2019,"Buehler, Walker",621111
280,2015,"Vólquez, Edinson",450172
281,2016,"Scherzer, Max",453286
282,2016,"Hendricks, Kyle",543294
283,2016,"Hernández, Félix",433587
284,2014,"Lackey, John",407793
285,2019,"Strasburg, Stephen",544931
286,2018,"Roark, Tanner",543699
287,2014,"Kennedy, Ian",453178
288,2014,"Kennedy, Ian",453178
289,2016,"Carrasco, Carlos",471911
290,2019,"Nola, Aaron",605400
291,2014,"Noesí, Hector",456051
292,2014,"Hernandez, Roberto",433584
293,2016,"Cueto, Johnny",456501
294,2016,"Cueto, Johnny",456501
295,2014,"Feldman, Scott",444857
296,2016,"Fernández, José",605228
297,2014,"Tillman, Chris",501957
298,2015,"deGrom, Jacob",594798
299,2014,"Greinke, Zack",425844
300,2016,"Scherzer, Max",453286
301,2017,"Santana, Ervin",429722
302,2017,"Dickey, R.A.",285079
303,2017,"Stroman, Marcus",573186
304,2015,"Karns, Nate",501992
305,2015,"Richards, Garrett",572070
306,2018,"Roark, Tanner",543699
307,2015,"Eovaldi, Nathan",543135
308,2014,"Jiménez, Ubaldo",434622
309,2015,"Cole, Gerrit",543037
310,2014,"Masterson, Justin",475416
311,2017,"Scherzer, Max",453286
312,2015,"González, Chi Chi",592346
313,2014,"Shoemaker, Matt",533167
314,2015,"Chavez, Jesse",445926
315,2017,"Kluber, Corey",446372
316,2014,"Hernández, Félix",433587
317,2017,"Bauer, Trevor",545333
318,2014,"Scherzer, Max",453286
319,2015,"Syndergaard, Noah",592789
320,2018,"Carrasco, Carlos",471911
321,2016,"Kelly, Joe",523260
322,2015,"Verlander, Justin",434378
323,2017,"Roark, Tanner",543699
324,2019,"Sparkman, Glenn",642098
325,2017,"Darvish, Yu",506433
326,2015,"Simon, Alfredo",430580
327,2017,"Archer, Chris",502042
328,2018,"Ponce de Leon, Daniel",594965
329,2016,"Gausman, Kevin",592332
330,2016,"Bradley, Archie",605151
331,2017,"Taillon, Jameson",592791
332,2016,"Kennedy, Ian",453178
333,2018,"Porcello, Rick",519144
334,2014,"Verlander, Justin",434378
335,2015,"Lohse, Kyle",346798
336,2014,"McCarthy, Brandon",435221
337,2017,"Severino, Luis",622663
338,2018,"Kluber, Corey",446372
339,2014,"Kennedy, Ian",453178
340,2016,"Wright, Steven",453214
341,2014,"Cueto, Johnny",456501
342,2016,"Wisler, Matt",605538
343,2015,"Archer, Chris",502042
344,2018,"Bauer, Trevor",545333
345,2019,"Lynn, Lance",458681
346,2017,"Verlander, Justin",434378
347,2017,"Gausman, Kevin",592332
348,2015,"Samardzija, Jeff",502188
349,2018,"Cole, Gerrit",543037
350,2019,"Roark, Tanner",543699
351,2014,"Samardzija, Jeff",502188
352,2014,"Hernández, Félix",433587
353,2014,"Verlander, Justin",434378
354,2014,"Cain, Matt",430912
355,2017,"Gausman, Kevin",592332
356,2015,"Arrieta, Jake",453562
357,2016,"Jiménez, Ubaldo",434622
358,2018,"deGrom, Jacob",594798
359,2019,"Bassitt, Chris",605135
360,2016,"Verlander, Justin",434378
361,2016,"Shoemaker, Matt",533167
362,2014,"Ross, Tyson",475115
363,2015,"Cueto, Johnny",456501
364,2015,"Wright, Steven",453214
365,2014,"Feldman, Scott",444857
366,2016,"Wisler, Matt",605538
367,2014,"Cueto, Johnny",456501
368,2016,"Porcello, Rick",519144
369,2014,"Jiménez, Ubaldo",434622
370,2014,"Scherzer, Max",453286
371,2016,"Bauer, Trevor",545333
372,2017,"Bundy, Dylan",605164
373,2016,"Wright, Steven",453214
374,2014,"Scherzer, Max",453286
375,2017,"Cobb, Alex",502171
376,2017,"Scherzer, Max",453286
377,2019,"Pivetta, Nick",601713
378,2014,"Tanaka, Masahiro",547888
379,2014,"Darvish, Yu",506433
380,2016,"Scherzer, Max",453286
381,2019,"Wheeler, Zack",554430
382,2015,"Heston, Chris",518790
383,2014,"Burnett, A.J.",150359
384,2014,"Samardzija, Jeff",502188
385,2015,"Arrieta, Jake",453562
386,2016,"Verlander, Justin",434378
387,2014,"Feldman, Scott",444857
388,2014,"Burnett, A.J.",150359
389,2016,"Archer, Chris",502042
390,2017,"Bauer, Trevor",545333
391,2019,"Verlander, Justin",434378
392,2017,"deGrom, Jacob",594798
393,2019,"Syndergaard, Noah",592789
394,2019,"deGrom, Jacob",594798
395,2015,"Iwakuma, Hisashi",547874
396,2019,"deGrom, Jacob",594798
397,2014,"Verlander, Justin",434378
398,2014,"Kennedy, Ian",453178
